timestamp,face_id,emotion,confidence,x,y,w,h
2025-10-01T13:13:23.477702,1,fear,52.42,328,212,88,88
2025-10-01T13:13:24.251949,2,sad,73.72,490,203,137,137
2025-10-01T13:13:24.641781,3,fear,50.35,383,311,86,86
2025-10-01T13:13:25.014207,4,happy,60.68,315,62,111,111
2025-10-01T13:13:25.402299,5,happy,96.79,279,64,117,117
2025-10-01T13:13:25.517076,6,happy,96.70,53,104,78,78
2025-10-01T13:13:25.554146,7,happy,94.94,278,63,102,102
2025-10-01T13:13:25.949979,8,neutral,85.33,50,110,78,78
2025-10-01T13:13:26.067163,9,happy,38.73,129,0,339,339
2025-10-01T13:13:26.243522,10,sad,53.61,122,0,356,352
2025-10-01T13:13:27.312058,11,neutral,82.31,293,215,84,84
2025-10-01T13:13:27.677271,12,sad,99.84,29,35,300,300
2025-10-01T13:13:27.803305,13,sad,99.40,30,37,295,295
2025-10-01T13:13:27.958908,14,sad,99.53,20,30,316,316
2025-10-01T13:13:28.095095,15,sad,98.52,26,34,306,306
2025-10-01T13:13:28.183031,16,neutral,75.16,249,123,302,302
2025-10-01T13:13:28.316604,17,neutral,77.26,255,130,283,283
2025-10-01T13:13:28.616627,18,neutral,98.01,252,115,278,278
2025-10-01T13:13:28.751570,19,sad,92.30,3,14,303,303
2025-10-01T13:13:28.821928,20,neutral,65.59,250,117,280,280
2025-10-01T13:13:28.957415,21,neutral,99.28,253,120,278,278
2025-10-01T13:13:29.123862,22,neutral,79.03,254,122,276,276
2025-10-01T13:13:29.289890,23,sad,98.26,0,12,320,320
2025-10-01T13:13:29.401852,24,neutral,98.89,253,122,281,281
2025-10-01T13:13:29.606148,25,sad,99.56,0,13,314,314
2025-10-01T13:13:29.722822,26,angry,51.33,248,116,292,292
2025-10-01T13:13:29.910527,27,neutral,87.70,248,125,278,278
2025-10-01T13:13:30.058151,28,neutral,84.19,249,121,283,283
2025-10-01T13:13:30.217302,29,happy,69.60,256,134,271,271
2025-10-01T13:13:30.339403,30,sad,93.97,5,16,297,297
2025-10-01T13:13:30.436976,31,neutral,99.36,258,134,271,271
2025-10-01T13:13:30.606162,32,neutral,90.32,238,113,313,313
2025-10-01T13:13:30.806408,33,neutral,71.08,244,118,306,306
2025-10-01T13:13:31.017263,34,sad,97.40,0,17,311,312
2025-10-01T13:13:31.158969,35,fear,52.41,253,129,294,294
2025-10-01T13:13:31.310263,36,angry,55.70,251,127,296,296
2025-10-01T13:13:31.600382,37,sad,94.65,3,29,304,304
2025-10-01T13:13:31.777701,38,neutral,77.84,20,44,273,273
2025-10-01T13:13:31.909292,39,sad,93.89,12,33,288,288
2025-10-01T13:13:32.265852,40,sad,96.52,0,24,314,317
2025-10-01T13:13:32.412553,41,neutral,99.21,256,143,278,278
2025-10-01T13:13:32.669941,42,sad,94.25,0,20,315,324
2025-10-01T13:13:33.019940,43,sad,93.03,0,18,318,325
2025-10-01T13:13:33.159877,44,fear,61.74,0,20,310,312
2025-10-01T13:13:33.251521,45,neutral,87.87,254,131,292,292
2025-10-01T13:13:33.386126,46,sad,66.43,8,30,293,293
2025-10-01T13:13:33.477776,47,neutral,89.15,252,129,295,295
2025-10-01T13:13:33.618501,48,neutral,77.70,18,36,282,282
2025-10-01T13:13:33.769131,49,neutral,40.78,254,123,300,300
2025-10-01T13:13:33.933385,50,sad,96.66,2,23,309,309
2025-10-01T13:13:34.033901,51,angry,78.01,252,125,300,300
2025-10-01T13:13:34.227428,52,angry,64.02,253,130,295,295
2025-10-01T13:13:34.369953,53,neutral,94.41,262,131,288,288
2025-10-01T13:13:34.601401,54,neutral,86.24,266,119,284,284
2025-10-01T13:13:34.749741,55,sad,85.25,1,5,315,315
2025-10-01T13:13:34.846056,56,fear,95.49,274,123,270,270
2025-10-01T13:13:34.998867,57,neutral,52.64,280,112,261,261
2025-10-01T13:13:35.136965,58,neutral,75.78,269,97,264,264
2025-10-01T13:13:35.252206,59,neutral,50.02,247,78,280,280
2025-10-01T13:13:36.928311,60,happy,96.38,0,18,171,172
2025-10-01T13:13:38.314242,61,sad,63.35,324,14,128,128
2025-10-01T13:13:38.403470,62,fear,62.55,317,3,127,127
2025-10-01T13:13:42.026404,63,sad,62.85,0,6,271,279
2025-10-01T13:13:42.131438,64,sad,64.39,20,0,280,279
2025-10-01T13:13:42.191492,65,sad,53.42,299,35,78,78
2025-10-01T13:13:42.267719,66,sad,48.75,48,0,282,279
2025-10-01T13:13:42.376451,67,sad,40.83,78,0,269,268
2025-10-01T13:13:42.494211,68,angry,44.06,91,0,276,268
2025-10-01T13:13:42.623973,69,happy,38.77,102,0,276,267
2025-10-01T13:13:42.736055,70,neutral,56.21,108,0,284,280
2025-10-01T13:13:42.852851,71,sad,48.58,139,14,279,279
2025-10-01T13:13:42.972636,72,sad,41.21,153,20,269,269
2025-10-01T13:13:43.091431,73,neutral,49.40,162,31,265,265
2025-10-01T13:13:43.209869,74,sad,69.77,157,28,268,268
2025-10-01T13:13:43.330373,75,sad,43.28,153,22,276,276
2025-10-01T13:13:43.462033,76,sad,40.72,160,29,272,272
2025-10-01T13:13:43.581837,77,neutral,43.53,166,36,267,267
2025-10-01T13:13:43.675925,78,angry,80.87,168,43,265,265
2025-10-01T13:13:43.800156,79,neutral,53.43,165,39,272,272
2025-10-01T13:13:43.893990,80,angry,50.69,169,40,266,266
2025-10-01T13:13:43.992553,81,angry,79.50,163,54,270,270
2025-10-01T13:13:44.084669,82,sad,63.58,170,68,264,264
2025-10-01T13:13:44.261605,83,sad,48.24,167,82,254,254
2025-10-01T13:13:44.356598,84,angry,60.42,167,82,254,254
2025-10-01T13:13:44.494967,85,sad,76.45,158,74,266,266
2025-10-01T13:13:44.593967,86,sad,62.23,161,78,260,260
2025-10-01T13:13:44.727906,87,angry,89.03,152,72,261,261
2025-10-01T13:13:44.821150,88,angry,85.48,157,73,257,257
2025-10-01T13:13:45.034758,89,angry,84.73,156,75,261,261
2025-10-01T13:13:45.132709,90,angry,85.48,158,71,261,261
2025-10-01T13:13:45.221435,91,angry,69.85,162,74,257,257
2025-10-01T13:13:45.325143,92,sad,52.50,160,68,266,266
2025-10-01T13:13:45.422103,93,angry,92.07,161,69,261,261
2025-10-01T13:13:45.613366,94,neutral,76.18,510,114,103,103
2025-10-01T13:13:46.010404,95,sad,52.59,169,48,266,266
2025-10-01T13:13:46.130097,96,sad,72.55,167,43,272,272
2025-10-01T13:13:46.224049,97,sad,56.91,177,46,257,257
2025-10-01T13:13:46.340304,98,angry,62.42,180,40,249,249
2025-10-01T13:13:46.458777,99,angry,77.59,181,23,252,252
2025-10-01T13:13:46.588446,100,angry,43.05,167,12,254,254
2025-10-01T13:13:46.696159,101,neutral,61.68,147,0,258,254
2025-10-01T13:13:46.803600,102,sad,49.24,127,0,243,231
2025-10-01T13:13:46.889589,103,neutral,60.49,73,0,200,185
2025-10-01T13:13:47.257737,104,neutral,97.31,48,2,86,86
2025-10-01T13:13:47.523299,105,sad,94.71,232,4,224,224
2025-10-01T13:13:47.701824,106,fear,48.48,137,278,196,196
